Gastpersoon,Coördinatie Volleystars,20,Gastpersoon,25-5-2026,30-6-2027
Gastpersoon,Coördinatie Volleystars,20,Gastpersoon,25-5-2026,30-6-2027
Gastpersoon,Coördinatie Volleystars,20,Gastpersoon,25-5-2026,30-6-2027
Gastpersoon,Coördinatie Volleystars,20,Gastpersoon,25-5-2026,30-6-2027
Voorzitter Kascommissie,Penningmeester,20,Voorzitter Kascommissie,25-5-2026,30-6-2027
Lid kascommissie,Voorzitter Kascommissie,20,Lid kascommissie,25-5-2026,30-6-2027
Lid kascommissie,Voorzitter Kascommissie,20,Lid kascommissie,25-5-2026,30-6-2027
Voorzitter Ledenadministratie,Secretaris,20,Voorzitter Ledenadministratie,25-5-2026,30-6-2027
Lid ledenadministratie,Voorzitter Ledenadministratie,20,Lid ledenadministratie,25-5-2026,30-6-2027
Voorzitter Kledingcommissie,Secretaris,10,Voorzitter Kledingcommissie,25-5-2026,30-6-2027
Lid Kledingcommissie,Voorzitter Kledingcommissie,10,Lid Kledingcommissie,25-5-2026,30-6-2027
Ondersteunen penningmeester,Penningmeester,20,Ondersteunen penningmeester,25-5-2026,30-6-2027
Voorzitter TC Dames,Technische zaken,20,Voorzitter TC Dames,25-5-2026,30-6-2027
Voorzitter TC Jeugd,Technische zaken,20,Voorzitter TC Jeugd,25-5-2026,30-6-2027
Lid TC Blauwvingers,Voorzitter TC Jeugd,20,Lid TC Blauwvingers,25-5-2026,30-6-2027
Lid TC Jeugd,Voorzitter TC Jeugd,20,Lid TC Jeugd,25-5-2026,30-6-2027
Lid TC Jeugd,Voorzitter TC Jeugd,20,Lid TC Jeugd,25-5-2026,30-6-2027
Training geven volley stars,Coördinatie Volleystars,15,Training geven volley stars,25-5-2026,30-6-2027
Training geven volley stars,Coördinatie Volleystars,15,Training geven volley stars,25-5-2026,30-6-2027
Training geven jeugd,Voorzitter TC Jeugd,15,Training geven jeugd,25-5-2026,30-6-2027
Training geven jeugd,Voorzitter TC Jeugd,15,Training geven jeugd,25-5-2026,30-6-2027
Training geven senioren ,Voorzitter TC Dames,15,Training geven senioren ,25-5-2026,30-6-2027
Training geven senioren ,Voorzitter TC Dames,15,Training geven senioren ,25-5-2026,30-6-2027
Coordinator Recreanten,Technische zaken,10,Coordinator Recreanten,25-5-2026,30-6-2027
Training geven recreanten,Coordinator Recreanten,15,Training geven recreanten,25-5-2026,30-6-2027
Training geven recreanten,Coordinator Recreanten,15,Training geven recreanten,25-5-2026,30-6-2027
Coach volleystars team,Coördinatie Volleystars,10,Coach volleystars team,25-5-2026,30-6-2027
Coach volleystars team,Coördinatie Volleystars,10,Coach volleystars team,25-5-2026,30-6-2027
Coach jeugdteam,Voorzitter TC Jeugd,10,Coach jeugdteam,25-5-2026,30-6-2027
Coach jeugdteam,Voorzitter TC Jeugd,10,Coach jeugdteam,25-5-2026,30-6-2027
Coach jeugdteam,Voorzitter TC Jeugd,10,Coach jeugdteam,26-5-2026,1-7-2027
Commissie recreanten toernooien,Technische zaken,20,Commissie recreanten toernooien,25-5-2026,30-6-2027
Voorzitter Sponsorcommissie,Bestuurslid communicatie,20,Voorzitter Sponsorcommissie,25-5-2026,30-6-2027
Lid Sponsorcommissie,Voorzitter Sponsorcommissie,20,Lid Sponsorcommissie,25-5-2026,30-6-2027
Lid Sponsorcommissie,Voorzitter Sponsorcommissie,20,Lid Sponsorcommissie,25-5-2026,30-6-2027
Lid Werkgroep samenwerking Zwolse volleybalclubs,Bestuurslid communicatie,20,Lid Werkgroep samenwerking Zwolse volleybalclubs,25-5-2026,30-6-2027
Lid Werkgroep samenwerking Zwolse binnensport,Bestuurslid communicatie,20,Lid Werkgroep samenwerking Zwolse binnensport,25-5-2026,30-6-2027
Lid Werkgroep opleiden kader (trainers en scheidsrechters),scheidsrechterzaken,20,Lid Werkgroep opleiden kader (trainers en scheidsrechters),25-5-2026,30-6-2027
