"Heren 2", "TC Heren", "160", "Coördinatie en ondersteuning van team Heren 2.", "01-07-2024 00:00", "30-06-2025 23:59"
"Meiden A1", "TC Jeugd", "160", "Coördinatie en ondersteuning van team Meiden A1.", "01-07-2024 00:00", "30-06-2025 23:59"
"Meiden A2", "TC Jeugd", "160", "Coördinatie en ondersteuning van team Meiden A2.", "01-07-2024 00:00", "30-06-2025 23:59"
"Meiden B1", "TC Jeugd", "160", "Coördinatie en ondersteuning van team Meiden B1.", "01-07-2024 00:00", "30-06-2025 23:59"
"Meiden B2", "TC Jeugd", "160", "Coördinatie en ondersteuning van team Meiden B2.", "01-07-2024 00:00", "30-06-2025 23:59"
"Meiden B3", "TC Jeugd", "160", "Coördinatie en ondersteuning van team Meiden B3.", "01-07-2024 00:00", "30-06-2025 23:59"
"Meiden C1", "TC Jeugd", "160", "Coördinatie en ondersteuning van team Meiden C1.", "01-07-2024 00:00", "30-06-2025 23:59"
"Meiden C2/3", "TC Jeugd", "160", "Coördinatie en ondersteuning van team Meiden C2/3.", "01-07-2024 00:00", "30-06-2025 23:59"
"Jongens A1", "TC Jongens", "160", "Coördinatie en ondersteuning van team Jongens A1.", "01-07-2024 00:00", "30-06-2025 23:59"
"Jongens B1", "TC Jongens", "160", "Coördinatie en ondersteuning van team Jongens B1.", "01-07-2024 00:00", "30-06-2025 23:59"
"Jongens B2", "TC Jongens", "160", "Coördinatie en ondersteuning van team Jongens B2.", "01-07-2024 00:00", "30-06-2025 23:59"
"Jongens C1", "TC Jongens", "160", "Coördinatie en ondersteuning van team Jongens C1.", "01-07-2024 00:00", "30-06-2025 23:59"
"Coördinatie CMV", "Technische zaken", "720", "Coördinatie CMV en afstemming van bijbehorende taken.", "01-07-2024 00:00", "30-06-2025 23:59"
"Inzetrooster", "Technische zaken", "20", "Verantwoordelijkheid voor Inzetrooster binnen Technische zaken.", "01-07-2024 00:00", "30-06-2025 23:59"
"Recreanten", "Technische zaken", "520", "Verantwoordelijkheid voor Recreanten binnen Technische zaken.", "01-07-2024 00:00", "30-06-2025 23:59"
"TC Dames", "Technische zaken", "1200", "Technische commissie voor Dames.", "01-07-2024 00:00", "30-06-2025 23:59"
"TC Heren", "Technische zaken", "340", "Technische commissie voor Heren.", "01-07-2024 00:00", "30-06-2025 23:59"
"TC Jeugd", "Technische zaken", "1200", "Technische commissie voor Jeugd.", "01-07-2024 00:00", "30-06-2025 23:59"
"TC Jongens", "Technische zaken", "680", "Technische commissie voor Jongens.", "01-07-2024 00:00", "30-06-2025 23:59"
"Wedstrijdsecretariaat", "Technische zaken", "60", "Verantwoordelijkheid voor Wedstrijdsecretariaat binnen Technische zaken.", "01-07-2024 00:00", "30-06-2025 23:59"
"Scheidsrechters", "Verenigingsscheidsrechter", "20", "Verantwoordelijkheid voor Scheidsrechters binnen Verenigingsscheidsrechter.", "01-07-2024 00:00", "30-06-2025 23:59"
"Contactpersoon recreanten", "Voorzitter", "20", "Verantwoordelijkheid voor Contactpersoon recreanten binnen Voorzitter.", "01-07-2024 00:00", "30-06-2025 23:59"
"Sponsorcommissie", "Voorzitter", "100", "Coördinatie en uitvoering van sponsorcommissie.", "01-07-2024 00:00", "30-06-2025 23:59"
"Gastvrouw", "Wedstrijdsecretariaat", "20", "Verantwoordelijkheid voor Gastvrouw binnen Wedstrijdsecretariaat.", "01-07-2024 00:00", "30-06-2025 23:59"
"Materialen", "Wedstrijdsecretariaat", "20", "Verantwoordelijkheid voor Materialen binnen Wedstrijdsecretariaat.", "01-07-2024 00:00", "30-06-2025 23:59"
